backend,op,n,medianMs,stdDevMs,minMs,maxMs,allocCount,allocBytes,peakLiveBytes,workingSetBytes
oop,random (fragmented),5000,0.685500,0.006808,0.676500,0.698600,NA,NA,NA,6918144
oop,remove (fragmented),5000,0.150000,0.008379,0.146400,0.174200,NA,NA,NA,6918144
ecs,add,10000,0.541100,0.018435,0.504600,0.571200,213,3353686,1278926,7016448
ecs,step,10000,0.011520,0.000305,0.011430,0.012410,NA,NA,NA,7016448
ecs,random,10000,0.088200,0.000199,0.087700,0.088300,NA,NA,NA,7016448
ecs,remove,10000,0.035000,0.045065,0.031600,0.169900,NA,NA,NA,7016448
oop,add,10000,2.241300,0.184044,2.144500,2.724700,80033,2809202,2119358,8630272
oop,step,10000,0.051190,0.003202,0.047370,0.058060,NA,NA,NA,8630272
oop,random,10000,1.240200,0.044594,1.211600,1.342300,NA,NA,NA,8630272
oop,remove,10000,0.349900,0.044678,0.345300,0.484400,NA,NA,NA,8630272
ecs,add (fragmented),10000,0.529500,0.047702,0.477800,0.620700,213,3353686,1278926,6930432
ecs,step (fragmented),10000,0.011440,0.000182,0.011280,0.011910,NA,NA,NA,6930432
ecs,random (fragmented),10000,0.081400,0.003152,0.081300,0.090900,NA,NA,NA,6930432
ecs,remove (fragmented),10000,0.035000,0.001365,0.034600,0.039000,NA,NA,NA,6930432
oop,add (fragmented),10000,2.262200,0.231409,2.195800,2.901800,80033,2809202,2119358,8548352
oop,step (fragmented),10000,0.054510,0.002335,0.052640,0.060280,NA,NA,NA,8548352
oop,random (fragmented),10000,1.144600,0.041247,1.135200,1.267700,NA,NA,NA,8548352
oop,remove (fragmented),10000,0.369100,0.013018,0.353700,0.389500,NA,NA,NA,8548352
ecs,add,50000,2.554000,0.179704,2.148500,2.658300,249,16964558,6472830,12632064
ecs,step,50000,0.073780,0.003566,0.070450,0.082580,NA,NA,NA,12632064
ecs,random,50000,0.151900,0.015510,0.149700,0.192400,NA,NA,NA,12632064
ecs,remove,50000,0.263900,0.016746,0.259800,0.303400,NA,NA,NA,12632064
oop,add,50000,12.201500,0.407337,11.751800,12.820200,400039,13565732,10340262,20463616
oop,step,50000,0.305230,0.021146,0.290520,0.347080,NA,NA,NA,20463616
oop,random,50000,2.059500,0.536771,1.968400,3.487600,NA,NA,NA,20463616
oop,remove,50000,2.574200,0.291492,2.436100,3.295700,NA,NA,NA,20463616
ecs,add (fragmented),50000,2.307500,0.481791,1.395000,2.598100,249,16964558,6472830,12595200
ecs,step (fragmented),50000,0.069610,0.001617,0.068800,0.073020,NA,NA,NA,12595200
ecs,random (fragmented),50000,0.134400,0.003088,0.130300,0.140400,NA,NA,NA,12595200
ecs,remove (fragmented),50000,0.308300,0.002520,0.306600,0.312700,NA,NA,NA,12595200
oop,add (fragmented),50000,12.557100,0.630021,10.924200,13.073900,400039,13565732,10340262,20381696
oop,step (fragmented),50000,0.564150,0.033345,0.527820,0.621940,NA,NA,NA,20381696
oop,random (fragmented),50000,2.167600,0.441288,1.659800,2.892400,NA,NA,NA,20381696
oop,remove (fragmented),50000,2.619400,0.459376,2.374000,3.823000,NA,NA,NA,20381696
